CODE,BAR - CODE,,ID,CATEGORY,VARIETY,FABRIC,PRICE,IMAGE_SOURCE,
ZXQQPW2401170010012,sz2305257733230005,184,1101,Women Apparel,M,18%Elastane & 82%Polyester,"$ 69,000",,
ZXQQPW2401170010012,st2303170717332273,197,1102,Women Apparel,L,100%Polyester,"$ 69,000",,
ZXQQPW2401170010052,st2305226604370054,159,1103,Women Apparel,S,65%Viscose & 35%Polyester,"$ 69,000",,
ZXQQPW2401170010106,sw2203020083766705,147,1104,Women Apparel,L,82%Polyester & 18%Elastane,"$ 69,000",,
ZXQQPW2401190010134,sz2309200340314515,241,1105,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 69,000",,
ZXQQPW2401190010148,sz2309054299787437,75,1106,Women Apparel,S,20%Elastane & 80%Polyamide,"$ 69,000",,
ZXQQPW2401190010166,sw2302214585028500,126,1108,Women Apparel,S,18%Elastane & 82%Polyester,"$ 69,000",,
ZXQQPW2401190010176,sz2309140990100911,155,1110,Women Apparel,XL,15%Elastane & 85%Polyester,"$ 69,000",,
ZXQQPW2401190010195,sz2309197755553990,154,1112,Women Apparel,M,20%Elastane & 80%Polyamide,"$ 69,000",,
ZXQQPW2401190010195,sz2310095500899929,225,1113,Women Apparel,L,20%Elastane & 80%Polyamide,"$ 69,000",,
ZXQQPW2401190010292,sz2309242682176394,278,1115,Women Apparel,M,90%Polyester & 10%Elastane,"$ 69,000",,
ZXQQPW2401210010668,sz2306132981855211,94,1116,Women Apparel,M,82%Polyester & 18%Elastane,"$ 69,000",,
ZXQQPW2401210010668,sz2310069222493226,370,1117,Women Apparel,XL,100%Acrylic,"$ 69,000",,
ZXQQPW2401220010043,sw2302113299812518,138,1118,Women Apparel,XL,5%Elastane & 95%Polyester,"$ 69,000",,
ZXQQPW2401220010045,sw2110157271888453,97,1120,Women Apparel,S,95%Polyester & 5%Elastane,"$ 69,000",,
ZXQQPW2401220010045,sw2202076119011861,144,1121,Women Apparel,M,95%Polyester & 5%Elastane,"$ 69,000",,
ZXQQPW2401220010049,sz2310162003276675,231,1122,Women Apparel,L,100%Polyester,"$ 69,000",,
ZXQQPW2401220010084,swswim25210513021,176,1123,Women Apparel,S,18%Elastane & 82%Polyester,"$ 69,000",,
ZXQQPW2401170010052,st2308319991072784,170,1202,Sports & Outdoor,S,5%Elastane & 95%Polyester,"$ 75,000",,
ZXQQPW2401210010668,st2310286743171747,159,1203,Sports & Outdoor,S,10%Elastane & 90%Polyester,"$ 83,000",,
ZXQQPW2401220010049,st2309122917377588,252,1205,Sports & Outdoor,M,100%Polyester,"$ 83,000",,
ZXQQPW2401220010087,sw2210228713816743,412,1206,Sports & Outdoor,XL,10%Elastane & 90%Polyester,"$ 83,000",,
ZXQQPW2401170010052,sz2306284585426763,721,1222101,Women Apparel,2XL,7%Elastane & 93%Polyester,"$ 109,000",,
ZXQQPW2401220010085,st2304107744739013,168,1124,Women Apparel,M,5%Elastane & 95%Polyester,"$ 69,000",,
ZXQQPW2401220010097,sw2302139201197969,221,1125,Women Apparel,XL,20%Elastane & 80%Polyamide,"$ 69,000",,
ZXQQPW2401170010012,sz2309171121281124,667,1126,Women Apparel,1XL,18%Elastane & 82%Polyester,"$ 93,000",,
ZXQQPW2401190010148,st2304108470741077,504,1127,Women Apparel,3XL,18%Elastane & 82%Polyester,"$ 93,000",,
ZXQQPW2401190010157,sz2309237809001330,670,1128,Women Apparel,1XL,18%Elastane & 82%Polyester,"$ 93,000",,
ZXQQPW2401190010184,st2305119350944040,323,1129,Women Apparel,2XL,82%Polyester & 18%Elastane,"$ 93,000",,
ZXQQPW2401220010044,sw2108217780479657,333,1130,Women Apparel,4XL,82%Polyester & 18%Elastane,"$ 93,000",,
ZXQQPW2401220010046,st2304135028324636,261,1131,Women Apparel,3XL,18%Elastane & 82%Polyester,"$ 93,000",,
ZXQQPW2401170010011,sz2308182102876476,314,13101,Women Apparel,XL,100%Cotton,"$ 93,000",,
ZXQQPW2401170010011,sz2307107321449883,308,13502,Women Apparel,S,65%Cotton & 35%Polyester,"$ 83,000",,
ZXQQPW2401170010011,sz2311177700425175,161,13401,Women Apparel,XL,100%Polyester,"$ 83,000",,
ZXQQPW2401170010051,sz2307052966535303,274,13503,Women Apparel,XL,35%Cotton & 60%Polyester & 5%Elastane,"$ 93,000",,
ZXQQPW2401170010051,sw2108108614382748,310,13504,Women Apparel,XL,60%Polyester & 5%Elastane & 35%Cotton,"$ 93,000",,
ZXQQPW2401170010052,sz2309222938691685,237,13402,Women Apparel,L,100%Polyester,"$ 83,000",,
ZXQQPW2401170010052,sz2307270520636069,69,13403,Women Apparel,XXS,100%Polyamide,"$ 83,000",,
ZXQQPW2401170010052,sz2307102631167151,350,13103,Women Apparel,M,20%Polyester & 80%Cotton,"$ 93,000",,
ZXQQPW2401170010052,sw2301101366550655,363,13104,Women Apparel,M,94%Polyester & 6%Elastane,"$ 93,000",,
ZXQQPW2401170010053,sz2307192545921325,220,13404,Women Apparel,42,100%Polyester,"$ 83,000",,
ZXQQPW2401170010053,sw2205204779768047,131,13405,Women Apparel,S,3%Elastane & 97%Polyester,"$ 83,000",,
ZXQQPW2401170010053,sz2309276636069307,186,13105,Women Apparel,L,100%Polyester,"$ 93,000",,
ZXQQPW2401170010053,sz2307244139540350,250,13201,Women Apparel,L,14%Elastane & 86%Polyester,"$ 75,000",,
